category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2020 - 2021 (%) ,2000 - 2021 (%/year) 
Thailand,81.57663946,90.47095084,98.86850778,111.7199069,125.7180249,141.8427561,160.1676042,164.2285744,149.4036596,155.7360385,156.5308043,164.7551372,176.4872075,185.3788074,202.4561831,208.9771948,211.1838111,217.6521854,222.4138336,216.7588023,233.9010197,233.3313691,249.6610967,261.4262653,256.6175624,263.8332534,260.1757549,260.1274678,258.7500152,268.0809521,260.9504697,258.8771407,-0.794529705,2.424645801
Pacific,286.1877073,287.9678695,293.5190309,297.2254103,303.2802368,313.7354764,325.322542,337.1133455,356.4970887,363.8417763,370.557187,379.3060114,391.8083736,392.8704996,405.4157565,411.7201405,415.618581,425.1428301,429.751703,429.6256125,427.6581906,425.0005445,426.195847,424.2278795,415.3354573,420.7104281,431.1868064,436.4942003,433.9745446,435.2430845,422.6882321,408.27675,-3.409482679,0.462674044
Australia,261.3850187,262.7206999,266.7094848,270.7051235,275.2476057,285.4007164,295.3561481,304.2503225,324.0946638,329.7106697,335.8544102,342.1131775,354.10295,353.9045952,367.3212596,372.7144164,376.4335586,387.0571393,390.3353791,393.2345964,391.1876751,389.3908041,388.0039573,385.0416842,375.331217,380.822048,390.7092137,394.5576472,391.6540968,390.0963542,378.654622,364.9437023,-3.620956652,0.396332558
New Zealand,21.62052321,22.16850612,23.71422659,23.42927918,23.98642086,24.38009317,25.86243885,28.22934036,27.36759571,28.96199605,30.0982975,31.90828566,31.97992806,32.53949813,32.28966825,32.98329907,33.10934245,31.94934733,33.03381221,30.30534809,30.094174,29.39722584,31.2655745,31.33604791,32.02746392,31.81004505,31.28121029,32.79601071,32.38794306,34.09329913,32.62533986,31.52638073,-3.368422016,0.220987008
Africa,533.6237077,541.1098196,550.9475052,560.3768313,558.6802986,590.8078249,612.9895315,646.1840714,662.1497518,667.2792382,679.2378773,739.3059943,770.1081474,804.2692479,850.5514985,880.8133189,898.1149201,937.3831623,998.7633536,990.2979607,1042.547394,1047.729596,1109.357479,1147.072606,1192.238363,1184.1367,1201.856539,1229.74854,1260.131079,1293.783278,1224.328274,1334.650764,9.010858575,3.268732097
Algeria,52.9819211,57.14997082,57.26243,59.19870218,56.34792747,56.82881237,56.16572068,58.07467449,59.49442937,63.24706466,64.22980202,65.74165664,71.67679253,74.89537767,75.9820417,80.33616462,83.44075924,87.44378769,90.81013534,96.764797,97.58855906,104.8249292,115.479404,118.3646651,127.343315,135.4523001,133.4276163,134.7273948,143.4361483,147.937359,141.3559685,143.0613862,1.206470281,3.887006134
Egypt,78.40328335,77.43171217,80.3535212,82.11624709,77.15353923,82.65921798,87.05049089,93.75104747,98.94265925,103.9541201,101.7043309,111.6904667,117.1667459,120.6089965,131.7831956,149.0893178,157.4264712,169.5337743,177.5112062,181.8732069,184.1211022,190.1938422,196.892564,196.0612752,198.3981741,205.3600963,211.1220226,225.088781,231.5347538,234.2173113,229.6903812,244.7823212,6.570558122,4.271071922
Nigeria,28.32067832,33.59143221,40.14598769,36.63981761,30.84990257,33.23286626,36.94538165,41.5712978,37.64760886,39.4894996,43.94352396,49.64854065,51.33437322,55.61153054,55.97236281,58.41301226,53.25779844,49.32020458,54.22052001,46.03980865,57.92740309,67.94251086,72.38897902,84.18121806,93.25587168,87.26784601,90.65278227,88.52185954,89.67012465,94.21529971,94.90331362,102.2124326,7.701647783,4.101638222
South Africa,251.9443354,247.852337,244.9342783,252.5854499,257.6623718,273.736886,284.0790344,298.9347618,306.6015472,289.7393254,296.1056996,330.700399,341.842699,363.8483912,387.0705726,379.1693745,378.8758004,400.3611968,432.5941979,408.3243997,430.1848451,414.3106976,431.3208271,441.0299749,453.1775445,428.0542962,429.7032578,436.4949137,440.4682331,448.6922657,414.3593927,447.2373169,7.934639554,1.983087407
Middle-East,589.2675166,604.0209627,676.1715443,725.1353659,793.934483,812.7909418,842.316553,889.9585986,895.2191426,918.2154363,964.5596813,1018.733837,1061.602981,1092.996026,1162.213504,1239.661403,1317.887303,1385.217707,1474.720151,1522.575066,1594.627906,1646.551501,1721.311617,1752.942227,1814.734719,1841.895794,1856.06093,1883.907954,1854.450507,1889.039756,1856.681937,1876.034067,1.042296501,3.218536249
Iran,181.2391852,200.8170966,218.1823915,219.6433122,248.8075892,254.7476853,262.1641839,276.5588385,280.1039278,305.925888,320.0647421,335.4371894,350.7157564,365.5547722,394.9044096,427.0237997,460.3208211,492.6318311,501.9572335,521.0736619,515.2473063,531.2966547,538.069671,561.4110115,587.2218471,581.6245966,584.9717735,609.542746,622.1422511,618.7493801,615.2933338,621.0888704,0.941914414,3.207267883
Kuwait,27.83655975,7.597758821,22.25754739,28.62736592,33.13381963,33.06786795,32.19544029,33.28477458,39.29640689,43.25647943,46.55773136,50.47968538,52.41989646,54.38762545,58.32738045,66.21240595,68.00056173,66.74007901,72.8360339,75.43751755,78.99196586,81.81420187,84.65388233,85.44787287,83.63185518,87.92549877,89.4659551,89.31890074,89.85378102,90.76929128,91.33913603,101.9781348,11.64779878,3.804220638
Saudi Arabia,155.6998811,162.0721703,176.7935465,187.3742806,199.5046153,198.6526578,211.5321815,214.0115084,228.9147562,234.9453688,244.1725307,248.1728565,265.6721428,276.5760173,293.9701214,310.2381038,329.0904929,346.3951323,378.1936984,395.0540205,434.8179731,451.104482,481.7202271,488.6146766,525.023663,550.7009736,546.7761472,535.9428753,511.5165913,517.1818212,517.7792734,513.174132,-0.88940241,3.600148678
United Arab Emirates,52.12365941,59.44309879,56.89860196,60.356952,66.34052903,70.54307476,73.66401221,77.58966964,79.39482974,81.78054574,81.00632946,93.97654412,95.83796115,100.2257353,106.3815228,112.9125845,116.9267067,125.8789673,147.7199443,149.9577802,156.8176152,160.6994722,171.440587,178.1698283,177.0119003,188.1523107,194.448942,189.9680028,169.0176475,180.6966907,176.0529288,175.4258915,-0.356164104,3.748003841
